Word,Sender,Hour,Minute,Day,Month,Year,Message,Location,AbsoluteLocation
gas,Ganrer,21,15,31,07,2014,132,7,684
go,Ganrer,23,35,01,08,2014,133,2,687
festival,Ganrer,23,35,01,08,2014,133,4,689
pain,JoeSwanson,13,23,04,08,2014,134,2,691
subside,JoeSwanson,13,23,04,08,2014,134,4,693
alcohol,JoeSwanson,13,23,04,08,2014,134,7,696
leaves,JoeSwanson,13,23,04,08,2014,134,8,697
system,JoeSwanson,13,23,04,08,2014,134,10,699
alive,Ganrer,13,26,04,08,2014,135,2,701
hanging,Ganrer,13,26,04,08,2014,136,1,702
eyyyy,Ganrer,13,26,04,08,2014,136,2,703
sweet,JoeSwanson,13,26,04,08,2014,137,3,706
friend,JoeSwanson,13,26,04,08,2014,137,4,707
art,JoeSwanson,13,26,04,08,2014,139,2,711
thou,JoeSwanson,13,26,04,08,2014,139,3,712
still,Ganrer,13,26,04,08,2014,140,1,713
spain,Ganrer,13,26,04,08,2014,140,3,715
sitting,Ganrer,13,26,04,08,2014,141,1,716
pool,Ganrer,13,26,04,08,2014,141,4,719
pool,JoeSwanson,13,26,04,08,2014,142,3,722
eh,JoeSwanson,13,26,04,08,2014,142,4,723
_,Ganrer,13,27,04,08,2014,143,1,724
thing,Ganrer,13,27,04,08,2014,144,2,726
never,Ganrer,13,27,04,08,2014,144,3,727
change,Ganrer,13,27,04,08,2014,144,4,728
300,Ganrer,13,28,04,08,2014,145,2,730
pages,Ganrer,13,28,04,08,2014,145,3,731
dance,Ganrer,13,28,04,08,2014,145,5,733
two,Ganrer,13,28,04,08,2014,145,6,734
btw,Ganrer,13,28,04,08,2014,145,7,735
brave,JoeSwanson,14,15,04,08,2014,146,3,738
sweet,JoeSwanson,14,15,04,08,2014,147,3,741
clan,JoeSwanson,14,15,04,08,2014,147,4,742
attack,JoeSwanson,14,15,04,08,2014,147,5,743
going,JoeSwanson,14,52,04,08,2014,148,3,746
attack,JoeSwanson,14,52,04,08,2014,148,5,748
6,JoeSwanson,14,52,04,08,2014,148,6,749
shall,JoeSwanson,14,52,04,08,2014,148,8,751
well,JoeSwanson,15,28,04,08,2014,150,1,755
head,JoeSwanson,15,28,04,08,2014,150,4,758
loss,JoeSwanson,15,28,04,08,2014,150,7,761
